Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
1;12.112,00;5.000,00;17.112,00;3.447,38;13.664,62;;2,38;13.667,00;3;12.112,00;5.000,00;17.112,00;3.447,38;13.664,62; -   ;2,38;13.667,00
2;4.183,00;5.000,00;9.183,00;1.040,44;8.142,56;;32,44;8.175,00;1;4.183,00;5.000,00;9.183,00;1.040,44;8.142,56; -   ;32,44;8.175,00
3;5.370,00; -   ;5.370,00;1.899,97;3.470,03;14,03;;3.456,00;2;5.370,00; -   ;5.370,00;1.899,97;3.470,03;14,03; -   ;3.456,00
782;5.356,00; -   ;5.356,00;589,47;4.766,53;13,53;;4.753,00;6;5.356,00; -   ;5.356,00;589,47;4.766,53;13,53; -   ;4.753,00
1;13.667,00; -   ;13.667,00;4.218,20;9.448,80;8,8;;9.440,00;3;13.667,00; -   ;13.667,00;4.218,20;9.448,80;8,8; -   ;9.440,00
2;8.175,00; -   ;8.175,00;1.368,05;6.806,95;37,95;;6.769,00;1;8.175,00; -   ;8.175,00;1.368,05;6.806,95;37,95; -   ;6.769,00
3;3.456,00; -   ;3.456,00;2.387,78;1.068,22;0,22;;1.068,00;2;3.456,00; -   ;3.456,00;2.387,78;1.068,22;0,22; -   ;1.068,00
782;4.753,00; -   ;4.753,00;651,66;4.101,34;7,34;;4.094,00;6;4.753,00; -   ;4.753,00;651,66;4.101,34;7,34; -   ;4.094,00
1;9.440,00;5.000,00;14.440,00;3.360,31;11.079,69;;10,31;11.090,00;3;9.440,00;5.000,00;14.440,00;3.360,31;11.079,69; -   ;10,31;11.090,00
2;6.769,00; -   ;6.769,00;1.392,57;5.376,43;;4,57;5.381,00;1;6.769,00; -   ;6.769,00;1.392,57;5.376,43; -   ;4,57;5.381,00
3;1.068,00;5.000,00;6.069,00;2.712,25;3.356,75;;1,25;3.358,00;2;1.068,00;5.000,00;6.069,00;2.712,25;3.356,75; -   ;1,25;3.358,00
782;4.094,00; -   ;4.094,00;405,42;3.688,58;3,58;;3.685,00;6;4.094,00; -   ;4.094,00;405,42;3.688,58;3,58; -   ;3.685,00
1;11.090,00; -   ;11.090,00;2.418,34;8.671,66;1,66;;8.670,00;3;11.090,00; -   ;11.090,00;2.418,34;8.671,66;1,66; -   ;8.670,00
2;5.381,00; -   ;5.381,00;569,79;4.811,21;;18,79;4.830,00;1;5.381,00; -   ;5.381,00;569,79;4.811,21; -   ;18,79;4.830,00
3;3.358,00; -   ;3.358,00;2.196,59;1.161,41;;2,59;1.164,00;2;3.358,00; -   ;3.358,00;2.196,59;1.161,41; -   ;2,59;1.164,00
782;3.685,00; -   ;3.685,00;293,95;3.391,05;;13,95;3.405,00;6;3.685,00; -   ;3.685,00;293,95;3.391,05; -   ;13,95;3.405,00
1;8.670,00;5.000,00;13.670,00;3.349,58;10.320,42;;27,58;10.348,00;3;8.670,00;5.000,00;13.670,00;3.349,58;10.320,42; -   ;27,58;10.348,00
2;4.830,00; -   ;4.830,00;862,22;3.967,78;;12,66;3.980,00;1;4.830,00; -   ;4.830,00;862,22;3.967,78; -   ;12,66;3.980,00
3;1.164,00;5.000,00;6.164,00;1.523,05;4.640,95;;19,05;4.660,00;2;1.164,00;5.000,00;6.164,00;1.523,05;4.640,95; -   ;19,05;4.660,00
782;3.405,00; -   ;3.405,00;254,21;3.150,79;;12,21;3.163,00;6;3.405,00; -   ;3.405,00;254,21;3.150,79; -   ;12,21;3.163,00
1;10.348,00; -   ;10.348,00;2.887,41;7.460,59;10,59;;7.450,00;3;10.348,00; -   ;10.348,00;2.887,41;7.460,59;10,59; -   ;7.450,00
2;3.980,00;5.000,00;8.980,00;1.109,65;7.870,35;;19,65;7.890,00;1;3.980,00;5.000,00;8.980,00;1.109,65;7.870,35; -   ;19,65;7.890,00
3;4.660,00;5.000,00;9.660,00;1.654,32;8.005,68;;13,32;8.019,00;2;4.660,00;5.000,00;9.660,00;1.654,32;8.005,68; -   ;13,32;8.019,00
782;3.163,00; -   ;3.163,00;584,54;2.578,46;;1,54;2.580,00;6;3.163,00; -   ;3.163,00;584,54;2.578,46; -   ;1,54;2.580,00
1;7.450,00;10.000,00;17.450,00;3.428,00;14.022,00;69,001;;13.953,00;3;7.450,00;10.000,00;17.450,00;3.428,00;14.022,00;69,001; -   ;13.953,00
2;7.890,00; -   ;7.890,00;1.313,15;6.576,85;;33,149;6.610,00;1;7.890,00; -   ;7.890,00;1.313,15;6.576,85; -   ;33,149;6.610,00
3;8.019,00; -   ;8.019,00;1.529,25;6.489,75;;10,249;6.500,00;2;8.019,00; -   ;8.019,00;1.529,25;6.489,75; -   ;10,249;6.500,00
782;2.580,00; -   ;2.580,00;490,679;2.089,32;;0,679;2.090,00;6;2.580,00; -   ;2.580,00;490,679;2.089,32; -   ;0,679;2.090,00
1;13.953,00; -   ;13.953,00;4.301,61;9.651,39;57,39;;9.594,00;3;13.953,00; -   ;13.953,00;4.301,61;9.651,39;57,39; -   ;9.594,00
2;6.610,00;5.000,00;11.610,00;825,5;10.784,50;;59,5;10.844,00;1;6.610,00;5.000,00;11.610,00;825,5;10.784,50; -   ;59,5;10.844,00
3;6.500,00; -   ;6.500,00;1.925,77;4.574,23;;21,77;4.596,00;2;6.500,00; -   ;6.500,00;1.925,77;4.574,23; -   ;21,77;4.596,00
782;2.090,00;5.000,00;7.090,00;319,59;6.770,41;;17,59;6.788,00;6;2.090,00;5.000,00;7.090,00;319,59;6.770,41; -   ;17,59;6.788,00
1;9.594,00;10.000,00;19.594,00;4.614,46;14.979,54;;21,46;15.001,00;3;9.594,00;10.000,00;19.594,00;4.614,46;14.979,54; -   ;21,46;15.001,00
2;10.844,00; -   ;10.844,00;1.334,03;9.509,97;33,97;;9.476,00;1;10.844,00; -   ;10.844,00;1.334,03;9.509,97;33,97; -   ;9.476,00
3;4.596,00;5.000,00;9.596,00;2.327,89;7.268,11;;0,89;7.269,00;2;4.596,00;5.000,00;9.596,00;2.327,89;7.268,11; -   ;0,89;7.269,00
782;6.788,00; -   ;6.788,00;560,63;6.227,37;4,37;;6.223,00;6;6.788,00; -   ;6.788,00;560,63;6.227,37;4,37; -   ;6.223,00
1;15.001,00; -   ;15.001,00;3.467,88;11.533,12;3,12;;11.530,00;3;15.001,00; -   ;15.001,00;3.467,88;11.533,12;3,12; -   ;11.530,00
2;9.476,00; -   ;9.476,00;898,36;8.577,64;30,64;;8.547,00;1;9.476,00; -   ;9.476,00;898,36;8.577,64;30,64; -   ;8.547,00
